Prefecture,1,10,20,30,40,50,60,70,80,90,99
三重県,4,1,3,8,6,12,8,1,2,0,0
不明,0,0,1,4,3,7,0,0,0,0,4
京都府,4,3,73,51,37,55,44,40,24,17,11
佐賀県,0,1,9,9,6,5,9,6,1,1,0
兵庫県,11,30,108,93,121,131,73,72,52,12,1
北海道,15,20,99,91,131,141,146,148,105,67,51
千葉県,7,25,158,135,177,175,108,64,68,23,9
和歌山県,1,5,7,5,7,20,9,3,4,3,0
埼玉県,13,24,148,114,181,198,107,99,70,29,3
大分県,0,3,13,6,8,9,4,3,6,3,5
大阪府,31,45,365,292,308,256,159,172,116,34,2
奈良県,3,4,14,7,22,17,13,5,4,2,0
宮城県,6,7,22,21,14,13,2,1,2,0,0
宮崎県,0,4,1,1,3,6,1,1,0,0,0
富山県,7,9,25,20,26,27,18,26,37,30,0
山口県,1,3,6,4,11,6,3,3,0,0,0
山形県,2,3,14,5,12,16,8,2,7,0,0
山梨県,2,0,16,7,9,5,7,6,3,2,1
岐阜県,4,2,27,23,15,28,23,20,7,1,0
岡山県,0,1,5,2,2,8,4,1,1,0,1
島根県,3,3,8,3,2,4,0,0,1,0,0
広島県,0,5,29,24,29,23,4,7,20,6,18
徳島県,0,0,2,1,0,0,1,1,0,0,0
愛媛県,2,2,4,12,10,16,9,7,4,4,0
愛知県,17,12,84,62,70,88,70,53,44,9,2
新潟県,3,0,13,23,9,11,8,9,5,1,0
東京都,66,82,915,908,822,791,533,487,330,175,31
栃木県,0,3,5,10,11,8,12,10,1,0,0
沖縄県,0,2,20,14,26,24,22,27,7,0,0
滋賀県,5,1,20,18,15,18,15,7,1,0,0
熊本県,0,0,9,4,7,10,9,8,1,0,0
石川県,3,6,12,26,55,67,41,27,25,23,1
神奈川県,16,26,185,194,207,217,154,125,86,30,26
福井県,2,2,8,14,18,35,19,18,5,1,0
福岡県,14,19,104,108,93,117,82,55,46,17,2
福島県,2,4,9,12,9,24,12,6,2,1,0
秋田県,1,3,4,2,1,4,1,0,0,0,0
群馬県,2,3,16,13,13,23,26,14,27,10,0
茨城県,2,5,32,26,26,20,16,16,15,9,1
長崎県,0,0,3,4,2,1,3,4,0,1,147
長野県,2,1,18,11,7,20,10,6,1,0,0
青森県,0,0,3,3,6,3,2,4,4,2,0
静岡県,4,4,7,8,11,4,11,6,2,1,15
香川県,3,0,4,1,6,5,5,2,2,0,0
高知県,4,2,7,8,12,14,14,7,4,2,0
鳥取県,0,0,1,0,0,1,1,0,0,0,0
鹿児島県,0,1,5,1,2,0,0,1,0,0,0
